YEAR,DATES,POLLSTER,GRADE,SAMPLE,,WEIGHT,APPROVE,DISAPPROVE,ADJUSTED_APPROVE,ADJUSTED_DISAPPROVE
2021,DEC. 12-14,YouGov,B+,1500,A,0.89,41%,50%,42%,51%
2021,DEC. 11-14,Beacon Research/Shaw & Company Research,A,1002,RV,1.77,47%,51%,45%,50%
2021,DEC. 8-14,Morning Consult,B,45000,A,0.95,44%,48%,43%,51%
2021,DEC. 11-13,Morning Consult,B,1998,RV,0.04,46%,51%,45%,54%
2021,DEC. 11-13,Marist College,A,1400,A,2.06,41%,55%,42%,55%
2021,DEC. 9-13,YouGov,B+,1558,A,0.92,41%,53%,42%,54%
2021,DEC. 9-13,Echelon Insights,B/C,1020,RV,1.21,48%,51%,47%,51%
2021,DEC. 8-12,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.56,43%,56%,45%,50%
2021,DEC. 8-12,SSRS,C,1256,A,1.06,49%,51%,48%,51%
2021,DEC. 9-10,Ipsos,B-,1004,A,0.41,48%,48%,47%,50%
2021,DEC. 8-10,RMG Research,B-,1200,RV,0.45,41%,53%,40%,54%
2021,DEC. 7-9,Morning Consult,B,2200,A,0.05,49%,47%,48%,50%
2021,DEC. 2-9,Schoen Cooperman Research,B/C,800,LV,0.98,46%,51%,45%,51%
2021,DEC. 6-8,RMG Research,B-,1200,RV,0.45,45%,49%,44%,50%
2021,DEC. 6-7,HarrisX,B+,926,RV,1.23,45%,50%,41%,51%
2021,DEC. 5-7,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.73,42%,57%,44%,51%
2021,DEC. 4-7,YouGov,B+,1500,A,0.93,39%,52%,40%,53%
2021,DEC. 3-7,Morning Consult,B,2200,A,0.04,47%,47%,46%,50%
2021,DEC. 2-7,AP-NORC,,1089,A,1.48,48%,51%,45%,51%
2021,DEC. 1-7,Morning Consult,B,45000,A,0.87,44%,48%,43%,51%
2021,NOV. 30-DEC. 7,YouGov/Pennsylvania State University McCourtney Institute for Democracy,B+,1200,A,1.76,45%,55%,44%,54%
2021,DEC. 4-6,Morning Consult,B,2000,RV,0.04,45%,51%,44%,54%
2021,DEC. 3-6,Navigator Research,B/C,1000,RV,0.93,45%,52%,44%,51%
2021,DEC. 3-6,Morning Consult,B,2200,A,0.04,47%,48%,46%,51%
2021,DEC. 2-6,Monmouth University,A,808,A,1.52,40%,50%,41%,50%
2021,DEC. 2-6,Morning Consult,B,2200,A,0.04,50%,46%,49%,49%
2021,NOV. 30-DEC. 6,Marist College,A,1172,A,1.7,42%,51%,43%,51%
,12/05/2022,Redfield & Wilton Strategies,B/C,1500,RV,1,37%,45%,39%,50%
2021,DEC. 3-5,Léger,B/C,1004,A,0.97,44%,55%,44%,55%
2021,DEC. 1-4,TIPP Insights,A+,1301,A,2.43,43%,43%,44%,48%
2021,DEC. 1-4,Hart Research Associates/Public Opinion Strategies,B+,800,A,1.25,41%,50%,42%,50%
2021,DEC. 1-3,RMG Research,B-,1200,RV,0.46,46%,48%,45%,49%
2021,DEC. 1-2,Ipsos,B-,1005,A,0.67,46%,49%,44%,50%
2021,NOV. 30-DEC. 2,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.67,42%,57%,44%,51%
2021,NOV. 30-DEC. 2,Harris Poll,B+,1989,RV,2.1,45%,51%,44%,52%
2021,NOV. 29-DEC. 1,Cor Services,,523,LV,0.63,42%,51%,44%,50%
2021,NOV. 29-30,RMG Research,B-,1200,RV,0.47,43%,52%,42%,53%
2021,NOV. 29-30,Morning Consult,B,2200,A,0.04,46%,48%,45%,51%
2021,NOV. 28-30,Morning Consult,B,18914,RV,0.36,45%,52%,44%,55%
2021,NOV. 27-30,YouGov,B+,1500,A,0.98,41%,49%,42%,50%
2021,NOV. 24-30,Morning Consult,B,45000,A,0.91,44%,49%,43%,52%
2021,NOV. 26-29,Trafalgar Group,A-,1082,LV,1.71,36%,59%,38%,56%
2021,NOV. 23-29,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.82,43%,56%,45%,50%
2021,NOV. 24-27,Morning Consult,B,2200,A,0.04,46%,49%,45%,52%
2021,NOV. 22-24,The Winston Group,A/B,1000,RV,1.47,42%,47%,41%,50%
2021,NOV. 22-23,RMG Research,B-,1200,RV,0.5,43%,52%,42%,53%
2021,NOV. 20-23,YouGov,B+,1500,A,0.78,41%,49%,42%,50%
2021,NOV. 17-23,Morning Consult,B,45000,A,0.97,44%,48%,43%,51%
2021,NOV. 20-22,Morning Consult,B,1999,RV,0.04,44%,52%,43%,55%
2021,NOV. 18-22,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.76,41%,58%,43%,52%
2021,NOV. 18-22,Navigator Research,B/C,1000,RV,0.84,43%,54%,42%,53%
2021,NOV. 16-22,"Fabrizio, Lee & Associates/Impact Research",,1500,RV,1.16,41%,57%,41%,55%
2021,NOV. 19-21,Morning Consult,B,2200,A,0.05,47%,47%,46%,50%
2021,NOV. 19-21,Léger,B/C,1001,A,0.88,44%,53%,44%,53%
2021,NOV. 18-21,Public Opinion Strategies,A-,1000,RV,1.64,47%,53%,46%,53%
2021,NOV. 17-21,Morning Consult,B,2199,A,0.05,47%,48%,46%,51%
2021,NOV. 17-20,American Research Group,C+,1100,A,1.1,44%,50%,42%,52%
2021,NOV. 17-19,YouGov,B+,1696,A,0.8,43%,52%,44%,53%
2021,NOV. 16-19,Marist College,A,1048,A,1.71,42%,50%,43%,50%
2021,NOV. 15-19,YouGov,B+,2058,A,0.96,44%,56%,45%,57%
2021,NOV. 17-18,RMG Research,B-,1200,RV,0.5,44%,52%,43%,53%
2021,NOV. 17-18,Ipsos,B-,1003,A,0.79,44%,49%,43%,50%
2021,NOV. 16-18,HarrisX,B+,2787,RV,2.3,44%,45%,40%,46%
2021,NOV. 12-18,Echelon Insights,B/C,1013,RV,1.14,45%,52%,44%,52%
2021,NOV. 15-17,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.81,41%,59%,43%,53%
2021,NOV. 14-17,Beacon Research/Shaw & Company Research,A,1003,RV,1.76,44%,54%,42%,53%
2021,NOV. 15-16,RMG Research,B-,1200,RV,0.5,41%,53%,40%,54%
2021,NOV. 14-16,YouGov,B+,1500,A,0.71,43%,49%,44%,50%
2021,NOV. 11-16,McLaughlin & Associates,C/D,1000,LV,0.76,42%,56%,41%,55%
2021,NOV. 10-16,Morning Consult,B,45000,A,0.99,44%,48%,43%,51%
2021,NOV. 1-16,Gallup,B+,815,A,1.32,42%,55%,42%,54%
,11/15/2022,Redfield & Wilton Strategies,B/C,1500,RV,1.02,37%,46%,39%,51%
2021,NOV. 13-15,Morning Consult,B,1998,RV,0.04,44%,53%,43%,56%
2021,NOV. 12-15,Morning Consult,B,2200,A,0.05,43%,50%,42%,53%
2021,NOV. 11-15,Quinnipiac University,A-,1378,A,1.93,36%,53%,39%,53%
2021,NOV. 12-14,Morning Consult,B,2200,A,0.05,46%,49%,45%,52%
2021,NOV. 11-14,The Bullfinch Group,,1200,A,1.07,45%,52%,44%,53%
2021,NOV. 10-14,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.55,43%,56%,45%,50%
2021,NOV. 10-12,The Winston Group,A/B,1000,RV,1.47,45%,47%,44%,50%
2021,NOV. 9-10,Ipsos,B-,1004,A,0.71,46%,49%,44%,50%
2021,NOV. 7-10,ABC News/The Washington Post,A+,1001,A,1.98,41%,53%,42%,52%
2021,NOV. 1-10,Marquette University Law School,A/B,1004,A,1.92,49%,51%,47%,51%
2021,NOV. 8-9,RMG Research,B-,1200,RV,0.53,40%,55%,39%,56%
2021,NOV. 7-9,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.71,40%,59%,42%,53%
2021,NOV. 6-9,YouGov,B+,1500,A,0.79,42%,48%,43%,49%
2021,NOV. 3-9,Morning Consult,B,45000,A,1,44%,49%,43%,52%
2021,NOV. 1-9,Susquehanna Polling & Research,B+,800,LV,1.29,36%,52%,37%,52%
2021,NOV. 4-8,Monmouth University,A,811,A,1.53,42%,50%,43%,50%
2021,NOV. 4-8,Navigator Research,B/C,1003,RV,0.82,47%,50%,46%,49%
2021,NOV. 4-8,YouGov,B+,1673,A,0.91,42%,51%,43%,52%
2021,NOV. 5-7,Léger,B/C,1006,A,0.87,45%,54%,45%,54%
2021,NOV. 5-7,Morning Consult,B,1998,RV,0.04,46%,51%,45%,54%
2021,NOV. 5-7,Morning Consult,B,2198,A,0.05,48%,47%,47%,50%
2021,NOV. 4-7,RMG Research,B-,1200,RV,0.54,44%,50%,43%,51%
2021,NOV. 3-5,Suffolk University,B+,1000,RV,1.56,38%,59%,40%,57%
2021,NOV. 3-5,Morning Consult,B,2200,A,0.05,46%,50%,45%,53%
2021,NOV. 3-4,Emerson College,A-,1000,RV,1.63,41%,50%,42%,51%
2021,NOV. 3-4,Ipsos,B-,1005,A,0.68,48%,47%,47%,48%
2021,NOV. 2-4,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,43%,55%,45%,49%
2021,NOV. 1-4,SSRS,C,1004,A,0.93,48%,52%,47%,52%
2021,OCT. 30-NOV. 2,YouGov,B+,1500,A,0.88,41%,50%,42%,51%
2021,OCT. 27-NOV. 2,Morning Consult,B,45000,A,1,44%,48%,43%,51%
2021,OCT. 29-NOV. 1,Morning Consult,B,2200,A,0.05,47%,47%,46%,50%
2021,OCT. 28-NOV. 1,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,43%,56%,45%,50%
,10/31/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.95,40%,44%,42%,49%
2021,OCT. 28-30,RMG Research,B-,1200,RV,0.5,46%,49%,45%,50%
2021,OCT. 27-29,TIPP Insights,A+,1306,A,2.41,40%,45%,41%,50%
2021,OCT. 27-28,Harris Poll,B+,1688,RV,1.94,43%,52%,42%,53%
2021,OCT. 27-28,Ipsos,B-,1005,A,0.68,44%,51%,43%,53%
2021,OCT. 26-28,Morning Consult,B,2198,A,0.05,47%,48%,46%,51%
2021,OCT. 25-27,RMG Research,B-,1200,RV,0.47,43%,53%,42%,54%
2021,OCT. 25-27,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,42%,57%,44%,51%
2021,OCT. 24-26,YouGov,B+,1500,A,0.89,43%,49%,44%,50%
2021,OCT. 23-26,Hart Research Associates/Public Opinion Strategies,B+,1000,A,1.27,42%,54%,43%,54%
2021,OCT. 20-26,Morning Consult,B,45000,A,0.98,45%,48%,44%,51%
2021,OCT. 20-26,Echelon Insights,B/C,1600,RV,1.19,45%,52%,44%,52%
2021,OCT. 22-25,Navigator Research,B/C,1001,RV,0.83,43%,53%,42%,52%
2021,OCT. 21-25,AP-NORC,,1083,A,1.46,48%,51%,45%,51%
2021,OCT. 22-24,Morning Consult,B,1999,RV,0.04,46%,51%,45%,54%
2021,OCT. 22-24,Léger,B/C,1002,A,0.87,43%,54%,43%,54%
2021,OCT. 20-24,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,43%,56%,45%,50%
,10/23/2022,Morning Consult,B,2201,A,0.05,49%,47%,48%,50%
2021,OCT. 21-23,Morning Consult,B,2201,A,0.05,53%,45%,52%,48%
2021,OCT. 21-23,RMG Research,B-,1200,RV,0.44,43%,53%,42%,54%
2021,OCT. 20-23,HarrisX,B+,2727,RV,2.28,42%,47%,38%,48%
2021,OCT. 17-23,Saint Leo University,C/D,1000,A,0.81,52%,45%,50%,47%
2021,OCT. 18-22,Marist College,A,1209,A,2.05,44%,49%,45%,49%
2021,OCT. 20-21,Ipsos,B-,1005,A,0.68,46%,48%,44%,49%
2021,OCT. 19-21,Trafalgar Group,A-,1083,LV,1.64,39%,58%,41%,56%
2021,OCT. 19-21,YouGov,B+,1704,A,0.95,44%,49%,45%,50%
2021,OCT. 16-21,Lake Research Partners/The Tarrance Group,A/B,1000,RV,1.44,45%,52%,45%,51%
2021,OCT. 18-20,RMG Research,B-,1200,RV,0.45,47%,47%,46%,48%
2021,OCT. 17-20,American Research Group,C+,1100,A,1.1,47%,47%,45%,49%
2021,OCT. 17-19,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,41%,58%,43%,52%
2021,OCT. 16-19,YouGov,B+,1500,A,0.84,44%,46%,45%,47%
2021,OCT. 16-19,Beacon Research/Shaw & Company Research,A,1003,RV,1.78,46%,53%,44%,52%
2021,OCT. 15-19,Echelon Insights,B/C,1098,RV,0.87,47%,51%,46%,51%
2021,OCT. 13-19,Morning Consult,B,45000,A,0.95,46%,47%,45%,50%
2021,OCT. 1-19,Gallup,B+,823,A,1.33,42%,52%,42%,51%
2021,OCT. 16-18,Morning Consult,B,1998,RV,0.04,45%,52%,44%,55%
2021,OCT. 15-18,Quinnipiac University,A-,1342,A,1.73,37%,52%,40%,52%
2021,OCT. 14-18,McLaughlin & Associates,C/D,1000,LV,0.76,45%,54%,44%,53%
2021,OCT. 12-18,Climate Nexus,,2678,RV,1.09,46%,50%,45%,51%
,10/17/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.92,43%,39%,45%,44%
2021,OCT. 14-17,Morning Consult,B,2200,A,0.05,49%,45%,48%,48%
2021,OCT. 14-17,Hart Research Associates/Public Opinion Strategies,B+,800,A,1.06,41%,52%,42%,52%
2021,OCT. 13-17,Selzer & Co.,A+,915,A,1.91,37%,50%,40%,50%
2021,OCT. 14-16,RMG Research,B-,1200,RV,0.46,47%,48%,46%,49%
2021,OCT. 12-15,Morning Consult,B,2200,A,0.05,48%,47%,47%,50%
2021,OCT. 13-14,Ipsos,B-,1005,A,0.68,46%,48%,45%,49%
2021,OCT. 12-14,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,43%,56%,45%,50%
2021,OCT. 12-14,Cor Services,,508,LV,0.49,40%,56%,42%,55%
2021,OCT. 11-13,RMG Research,B-,1200,RV,0.49,43%,47%,42%,48%
2021,OCT. 11-13,Morning Consult,B,2201,A,0.05,48%,47%,47%,50%
2021,OCT. 9-12,Morning Consult,B,2200,A,0.05,47%,48%,46%,51%
2021,OCT. 9-12,YouGov,B+,1500,A,0.78,40%,50%,41%,51%
2021,OCT. 8-12,Morning Consult,B,2200,A,0.05,47%,49%,46%,52%
2021,OCT. 6-12,Morning Consult,B,45000,A,0.95,46%,47%,45%,50%
2021,OCT. 8-11,Morning Consult,B,1999,RV,0.04,46%,51%,45%,54%
2021,OCT. 7-11,Navigator Research,B/C,1001,RV,0.83,46%,51%,45%,50%
2021,OCT. 7-11,SSRS,C,1000,A,0.93,50%,49%,49%,49%
2021,OCT. 7-11,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,41%,57%,43%,51%
2021,OCT. 8-10,Léger,B/C,1000,A,0.87,45%,53%,45%,53%
2021,OCT. 6-9,RMG Research,B-,1200,RV,0.57,47%,50%,46%,51%
2021,OCT. 6-8,Morning Consult,B,2200,A,0.05,49%,46%,48%,49%
2021,OCT. 6-8,YouGov,B+,2054,A,1,50%,50%,51%,51%
2021,OCT. 6-7,Ipsos,B-,1005,A,0.68,48%,47%,47%,48%
2021,OCT. 4-6,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,43%,55%,45%,49%
2021,OCT. 4-6,Trafalgar Group,A-,1087,LV,1.62,40%,56%,42%,53%
2021,OCT. 3-6,Cor Services,,516,LV,0.5,39%,53%,41%,52%
,10/05/2022,Redfield & Wilton Strategies,B/C,1500,RV,0.93,45%,37%,47%,42%
2021,OCT. 3-5,YouGov,B+,1500,A,0.71,42%,48%,43%,49%
2021,SEP. 29-OCT. 5,Morning Consult,B,45000,A,0.95,46%,47%,45%,50%
2021,OCT. 2-4,Morning Consult,B,1998,RV,0.04,45%,52%,44%,55%
2021,OCT. 1-4,Quinnipiac University,A-,1326,A,1.69,38%,53%,41%,53%
2021,OCT. 1-4,Morning Consult,B,3300,A,0.07,46%,49%,45%,52%
2021,OCT. 1-4,YouGov,B+,1640,A,0.78,42%,50%,43%,51%
2021,SEP. 29-OCT. 3,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,43%,56%,45%,50%
2021,SEP. 29-OCT. 2,TIPP Insights,A+,1308,A,2.41,44%,40%,45%,45%
2021,SEP. 30-OCT. 1,Public Policy Polling,A-,758,RV,1.33,46%,47%,47%,47%
2021,SEP. 29-30,Morning Consult,B,2200,A,0.05,46%,48%,45%,51%
2021,SEP. 29-30,Ipsos,B-,1005,A,0.68,46%,50%,44%,51%
2021,SEP. 27-29,Morning Consult,B,2200,A,0.05,49%,46%,48%,49%
2021,SEP. 16-29,Public Religion Research Institute,A/B,2508,A,2.42,52%,48%,50%,48%
2021,SEP. 27-28,HarrisX,B+,935,RV,0.92,48%,43%,44%,44%
2021,SEP. 26-28,YouGov,B+,1500,A,0.8,40%,49%,41%,50%
2021,SEP. 26-28,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,42%,56%,44%,50%
2021,SEP. 22-28,Morning Consult,B,45000,A,0.9,45%,47%,44%,50%
2021,SEP. 24-27,Morning Consult,B,2200,A,0.05,48%,46%,47%,49%
2021,SEP. 23-27,AP-NORC,,1099,A,1.47,50%,49%,47%,49%
2021,SEP. 23-27,Navigator Research,B/C,1000,RV,0.83,46%,51%,45%,50%
2021,SEP. 24-26,Léger,B/C,1001,A,0.86,46%,52%,46%,52%
2021,SEP. 20-26,Marist College,A,1220,A,2.04,45%,46%,46%,46%
2021,SEP. 24-25,HarrisX,B+,935,RV,0.89,47%,42%,43%,43%
2021,SEP. 24-25,RMG Research,B-,1200,RV,0.61,45%,48%,44%,49%
2021,SEP. 23-25,Morning Consult,B,2200,A,0.05,47%,49%,46%,52%
2021,SEP. 22-23,Ipsos,B-,1005,A,0.68,44%,51%,43%,52%
2021,SEP. 21-23,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.62,42%,56%,44%,50%
2021,SEP. 17-23,Echelon Insights,B/C,1005,RV,1.06,50%,48%,49%,48%
,09/22/2022,RMG Research,B-,1200,RV,0.59,47%,47%,46%,48%
2021,SEP. 18-21,YouGov,B+,1500,A,0.72,43%,46%,44%,47%
2021,SEP. 17-21,Morning Consult,B,2200,A,0.04,49%,46%,48%,49%
2021,SEP. 15-21,Morning Consult,B,45000,A,0.83,47%,46%,46%,49%
2021,SEP. 19-20,Redfield & Wilton Strategies,B/C,1500,RV,0.96,45%,34%,47%,39%
2021,SEP. 18-20,Morning Consult,B,1998,RV,0.04,47%,50%,46%,53%
2021,SEP. 17-20,American Research Group,C+,1100,A,1.1,50%,46%,48%,48%
2021,SEP. 17-20,Morning Consult,B,2200,A,0.04,49%,44%,48%,47%
2021,SEP. 16-20,Morning Consult,B,4400,A,0.08,46%,48%,45%,51%
2021,SEP. 16-20,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.7,44%,56%,46%,50%
2021,SEP. 14-20,YouGov,B+,3201,A,1.44,45%,50%,46%,51%
2021,SEP. 16-19,The Bullfinch Group,,1200,A,1.07,48%,46%,47%,47%
2021,SEP. 13-19,Pew Research Center,B/C,10371,A,3.16,44%,53%,44%,52%
2021,SEP. 16-18,RMG Research,B-,1200,RV,0.6,48%,48%,47%,49%
2021,SEP. 14-18,Morning Consult,B,2200,A,0.04,49%,46%,48%,49%
2021,SEP. 1-17,Gallup,B+,1005,A,1.53,43%,53%,43%,52%
2021,SEP. 15-16,Harris Poll,B+,1578,RV,1.88,48%,50%,47%,51%
2021,SEP. 15-16,Ipsos,B-,1005,A,0.68,44%,50%,43%,52%
2021,SEP. 13-16,Morning Consult,B,2200,A,0.04,51%,44%,50%,47%
2021,SEP. 7-16,Marquette University Law School,A/B,1411,A,2.52,48%,52%,46%,52%
2021,SEP. 13-15,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.78,44%,55%,46%,49%
2021,SEP. 12-15,Beacon Research/Shaw & Company Research,A,1002,RV,1.79,50%,49%,48%,48%
2021,SEP. 12-14,YouGov,B+,1500,A,0.68,44%,48%,45%,49%
2021,SEP. 9-14,McLaughlin & Associates,C/D,1000,LV,0.77,47%,52%,46%,51%
2021,SEP. 8-14,Morning Consult,B,45000,A,1.04,47%,46%,46%,49%
2021,SEP. 11-13,Morning Consult,B,2200,A,0.04,49%,45%,48%,48%
2021,SEP. 10-13,Quinnipiac University,A-,1210,A,1.74,42%,50%,45%,50%
2021,SEP. 10-13,Morning Consult,B,4400,A,0.08,48%,46%,47%,49%
2021,SEP. 10-13,Léger,B/C,1002,A,0.87,48%,50%,48%,50%
2021,SEP. 10-13,Morning Consult,B,1997,RV,0.03,47%,50%,46%,53%
2021,SEP. 9-13,Navigator Research,B/C,995,RV,0.82,49%,49%,48%,48%
2021,SEP. 9-13,Monmouth University,A,802,A,1.52,46%,46%,47%,46%
2021,SEP. 10-12,Morning Consult,B,2200,A,0.04,48%,47%,47%,50%
2021,SEP. 8-12,Rasmussen Reports/Pulse Opinion Research,B,1500,LV,0.54,46%,52%,48%,46%
2021,SEP. 10-11,RMG Research,B-,1200,RV,0.67,47%,48%,46%,49%
2021,SEP. 10-11,HarrisX,B+,958,RV,0.76,47%,44%,43%,45%
2021,SEP. 8-11,Morning Consult,B,2200,A,0.04,47%,48%,46%,51%
2021,SEP. 8-9,Ipsos,B-,1005,A,0.65,47%,46%,46%,47%
2021,SEP. 8-9,HarrisX,B+,1803,RV,1.39,55%,45%,51%,46%
